,table name,Number records
0,AuditAuthenticationSet,34032
1,AuthenticationSet,100000
2,AuthorizationSubject,100000
3,ChainAuthorization,35183
4,ChainAuthorizationService,45098
5,ChainedOrganisation,37287
6,Group,257
7,GroupUser,1160
8,ISO_Country,250
9,IntermediateAuthorizationService,56471
10,Organisation,380
11,Person,292
12,PersonAttribute,100000
13,PersonOrganisationLink,395
14,PersonOrganisationRole,100000
15,PersonUsageTransactions,100000
16,RegistrationLevel,5
17,Roles,3
18,Service,10
19,ServiceAuthorization_1_13,100000
20,ServiceProvider,806
21,Urn,20
22,DA_relation,783
23,DA_relation_audit,795
24,DA_relationrole,12
25,aselect_loginhistory,43924
26,tblAbonnement,1
27,tblAbonnementType,6
28,tblBTW,2
29,tblDienst,7
30,tblDienstType,11
31,tblFactType,7
32,tblGrootboek,19
33,tblKlant,1085
34,tblKlantAbonnement,2448
35,tblKlantAbonnementGebruik,1
36,tblKlantAbonnementSysAttr,46998
37,tblKlantBankMachtiging,195
38,tblKlantDienst,149
39,tblKlantSysAttr,100000
40,tblLand,1
41,tblOrganisatie,7
42,tblSysteemAttribuut,1
43,RequestCache,1699
